State	series_id                     	year	period	       value	footnote_codes
Mississippi	LAUCN280230000000005          	2010	M06	        5810	R
Mississippi	LAUCN280230000000005          	2011	M06	        5916	R
Mississippi	LAUCN280230000000005          	2012	M06	        5944	R
Mississippi	LAUCN280230000000005          	2013	M06	        6060	R
Mississippi	LAUCN280230000000005          	2014	M06	        5734	R
Mississippi	LAUCN280230000000005          	2015	M06	        5596	R
Mississippi	LAUCN280230000000006          	2010	M06	        6660	R
Mississippi	LAUCN280230000000006          	2011	M06	        6822	R
Mississippi	LAUCN280230000000006          	2012	M06	        6769	R
Mississippi	LAUCN280230000000006          	2013	M06	        6818	R
Mississippi	LAUCN280230000000006          	2014	M06	        6363	R
Mississippi	LAUCN280230000000006          	2015	M06	        6155	R
Mississippi	LAUCN280250000000003          	2010	M06	        16.4	R
Mississippi	LAUCN280250000000003          	2011	M06	        16.0	R
Mississippi	LAUCN280250000000003          	2012	M06	        15.1	R
Mississippi	LAUCN280250000000003          	2013	M06	        17.0	R
Mississippi	LAUCN280250000000003          	2014	M06	        14.9	R
Mississippi	LAUCN280250000000003          	2015	M06	        10.8	R
Mississippi	LAUCN280250000000004          	2010	M06	        1402	R
Mississippi	LAUCN280250000000004          	2011	M06	        1396	R
Mississippi	LAUCN280250000000004          	2012	M06	        1300	R
Mississippi	LAUCN280250000000004          	2013	M06	        1449	R
Mississippi	LAUCN280250000000004          	2014	M06	        1193	R
Mississippi	LAUCN280250000000004          	2015	M06	         871	R
Mississippi	LAUCN280250000000005          	2010	M06	        7156	R
Mississippi	LAUCN280250000000005          	2011	M06	        7323	R
Mississippi	LAUCN280250000000005          	2012	M06	        7314	R
Mississippi	LAUCN280250000000005          	2013	M06	        7083	R
Mississippi	LAUCN280250000000005          	2014	M06	        6818	R
Mississippi	LAUCN280250000000005          	2015	M06	        7194	R
Mississippi	LAUCN280250000000006          	2010	M06	        8558	R
Mississippi	LAUCN280250000000006          	2011	M06	        8719	R
Mississippi	LAUCN280250000000006          	2012	M06	        8614	R
Mississippi	LAUCN280250000000006          	2013	M06	        8532	R
Mississippi	LAUCN280250000000006          	2014	M06	        8011	R
Mississippi	LAUCN280250000000006          	2015	M06	        8065	R
Mississippi	LAUCN280270000000003          	2010	M06	        14.4	R
Mississippi	LAUCN280270000000003          	2011	M06	        15.2	R
Mississippi	LAUCN280270000000003          	2012	M06	        14.0	R
Mississippi	LAUCN280270000000003          	2013	M06	        14.4	R
Mississippi	LAUCN280270000000003          	2014	M06	        13.0	R
Mississippi	LAUCN280270000000003          	2015	M06	        11.6	R
Mississippi	LAUCN280270000000004          	2010	M06	        1487	R
Mississippi	LAUCN280270000000004          	2011	M06	        1619	R
Mississippi	LAUCN280270000000004          	2012	M06	        1422	R
Mississippi	LAUCN280270000000004          	2013	M06	        1422	R
Mississippi	LAUCN280270000000004          	2014	M06	        1250	R
Mississippi	LAUCN280270000000004          	2015	M06	        1106	R
Mississippi	LAUCN280270000000005          	2010	M06	        8835	R
Mississippi	LAUCN280270000000005          	2011	M06	        9067	R
Mississippi	LAUCN280270000000005          	2012	M06	        8719	R
Mississippi	LAUCN280270000000005          	2013	M06	        8479	R
Mississippi	LAUCN280270000000005          	2014	M06	        8353	R
Mississippi	LAUCN280270000000005          	2015	M06	        8447	R
Mississippi	LAUCN280270000000006          	2010	M06	       10322	R
Mississippi	LAUCN280270000000006          	2011	M06	       10686	R
Mississippi	LAUCN280270000000006          	2012	M06	       10141	R
Mississippi	LAUCN280270000000006          	2013	M06	        9901	R
Mississippi	LAUCN280270000000006          	2014	M06	        9603	R
Mississippi	LAUCN280270000000006          	2015	M06	        9553	R
Mississippi	LAUCN280290000000003          	2010	M06	        12.3	R
Mississippi	LAUCN280290000000003          	2011	M06	        12.4	R
Mississippi	LAUCN280290000000003          	2012	M06	        11.9	R
Mississippi	LAUCN280290000000003          	2013	M06	        11.8	R
Mississippi	LAUCN280290000000003          	2014	M06	        10.0	R
Mississippi	LAUCN280290000000003          	2015	M06	         8.2	R
Mississippi	LAUCN280290000000004          	2010	M06	        1491	R
Mississippi	LAUCN280290000000004          	2011	M06	        1546	R
Mississippi	LAUCN280290000000004          	2012	M06	        1436	R
Mississippi	LAUCN280290000000004          	2013	M06	        1376	R
Mississippi	LAUCN280290000000004          	2014	M06	        1129	R
Mississippi	LAUCN280290000000004          	2015	M06	         940	R
Mississippi	LAUCN280290000000005          	2010	M06	       10632	R
Mississippi	LAUCN280290000000005          	2011	M06	       10889	R
Mississippi	LAUCN280290000000005          	2012	M06	       10609	R
Mississippi	LAUCN280290000000005          	2013	M06	       10311	R
Mississippi	LAUCN280290000000005          	2014	M06	       10198	R
Mississippi	LAUCN280290000000005          	2015	M06	       10525	R
Mississippi	LAUCN280290000000006          	2010	M06	       12123	R
Mississippi	LAUCN280290000000006          	2011	M06	       12435	R
Mississippi	LAUCN280290000000006          	2012	M06	       12045	R
Mississippi	LAUCN280290000000006          	2013	M06	       11687	R
Mississippi	LAUCN280290000000006          	2014	M06	       11327	R
Mississippi	LAUCN280290000000006          	2015	M06	       11465	R
Mississippi	LAUCN280310000000003          	2010	M06	        10.1	R
Mississippi	LAUCN280310000000003          	2011	M06	        10.0	R
Mississippi	LAUCN280310000000003          	2012	M06	         9.4	R
Mississippi	LAUCN280310000000003          	2013	M06	         8.7	R
Mississippi	LAUCN280310000000003          	2014	M06	         7.2	R
Mississippi	LAUCN280310000000003          	2015	M06	         6.6	R
Mississippi	LAUCN280310000000004          	2010	M06	         853	R
